Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.289.300;28;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;535.500;3;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.353.600;7;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.002.500;12;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;3.453.750;168;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Jose do Rio Preto-SP;2.502.000;45;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Presidente Prudente-SP;20.315.000;170;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sao Jose do Rio Preto-SP;26.834.000;403;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sorocaba-SP;65.490.950;1970;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Sorocaba-SP;51.151.740;1542;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;6.935.400;34;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Guarulhos-SP;138.800.000;27648;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Taubate-SP;6.040.800;32;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Vicente-SP;6.418.350;34;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Sao Vicente-SP;324.450;2;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Sao Vicente-SP;819.000;4;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.573.650;8;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;756.450;4;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Taubate-SP;819.000;4;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Taubate-SP;324.450;2;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Taubate-SP;913.050;5;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Aruja-SP;57.843.200;736;NESTLE;Cavalo;48
Sao Bernardo do Campo-SP;Cotia-SP;314.100;2;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.124.100;9;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;157.500;1;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sorocaba-SP;1.390.200;37;NESTLE;Fiorino /Doblo / Kan;72
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;3.570.000;96;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Piedade-SP;8.052.779;46;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Guarulhos-SP;128.400.000;1200;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Embu das Artes-SP;156.600;1;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;139.550;15;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.837.350;11;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;9.643.050;48;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.883.700;12;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.150.200;6;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.354.500;7;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;156.600;1;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;7.122.600;36;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Santos-SP;3.621.000;60;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Santos-SP;93.120;2;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Bernardo do Campo-SP;894.900;15;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;9.609.750;47;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Cotia-SP;6.338.700;33;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Cotia-SP;156.600;1;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Cotia-SP;3.748.950;19;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.428.200;31;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Guarulhos-SP;724.800;60;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Itaquaquecetuba-SP;7.277.180;114;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.379.700;10;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;7.137.000;44;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Sao Vicente-SP;8.474.850;45;NESTLE;Iveco/ Master / Tran;120
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.330.100;12;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.443.200;29;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;31.063.050;161;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;5.730.750;36;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;1.786.950;12;NESTLE;Fiorino /Doblo / Kan;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;8.032.950;43;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.103.850;5;NESTLE;Furgao Curto;48
Santo Andre-SP;Aracariguama-SP;118.130;1;NESPRESSO;Cavalo;24
Viana-ES;Barueri-SP;59.340;1;EPSON;Truck;96
Barueri-SP;Sao Paulo-SP;1.170.000;4;EPSON;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;20.000;5;EPSON;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;540.000;6;EPSON;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;17.280;1;EPSON;Fiorino /Doblo / Kan;48
Barueri-SP;Barueri-SP;169.570;1;DIVERSOS;Toco;48
Barueri-SP;Sao Bernardo do Campo-SP;60.400;10;NESTLE;Toco;48
Barueri-SP;Sao Paulo-SP;46.660;1;EPSON;Fiorino /Doblo / Kan;48
Barueri-SP;Barueri-SP;12.250;1;DIVERSOS;Truck;48
Barueri-SP;Sao Paulo-SP;86.000;1;EPSON;Iveco/ Master / Tran;48
Barueri-SP;Osasco-SP;122.380;2;EPSON;Iveco/ Master / Tran;48
Barueri-SP;Osasco-SP;94.250;2;EPSON;Iveco/ Master / Tran;48
Barueri-SP;Osasco-SP;4.185.000;25;EPSON;Iveco/ Master / Tran;48
Barueri-SP;Osasco-SP;6.912.000;2;EPSON;Iveco/ Master / Tran;48
Barueri-SP;Sao Paulo-SP;14.820;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Barueri-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;180.000;5;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;96.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;30.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
Barueri-SP;Sao Paulo-SP;10.000;1;DIVERSOS;Fiorino /Doblo / Kan;48
